t,q0,q1,q2,q3,q4,q5,qdot0,qdot1,qdot2,qdot3,qdot4,qdot5,qddot0,qddot1,qddot2,qddot3,qddot4,qddot5,jerk0,jerk1,jerk2,jerk3,jerk4,jerk5
0.34675,0.150744,-0.147648,0.222352,0.143491,0.136513,-0.238471,1.06345,-0.838736,1.19665,0.708386,0.795312,-1.25575,3.56654,-0.443079,-0.269548,-1.12441,0.732394,0.723646,-8.89661,27.1419,-45.2919,-34.7812,-22.6563,51.5774
0.3515,0.155836,-0.151637,0.228032,0.146842,0.140298,-0.244427,1.08029,-0.840534,1.19485,0.702652,0.798535,-1.25173,3.52343,-0.313572,-0.485268,-1.28989,0.624297,0.969295,-9.25277,27.3835,-45.531,-34.8881,-22.8549,51.8465
0.35625,0.161007,-0.155632,0.233701,0.150165,0.144098,-0.25036,1.09692,-0.841714,1.19203,0.696131,0.801242,-1.24654,3.47865,-0.182969,-0.70203,-1.4558,0.515303,1.21612,-9.6021,27.6036,-45.7307,-34.9645,-23.0342,52.0718
0.361,0.166256,-0.159632,0.239355,0.153454,0.147909,-0.256267,1.11333,-0.842271,1.18818,0.688821,0.803429,-1.24017,3.43222,-0.0513722,-0.919647,-1.62201,0.405503,1.46391,-9.94462,27.8021,-45.8909,-35.0105,-23.1942,52.2534
0.36575,0.171583,-0.163633,0.244988,0.156707,0.15173,-0.26214,1.12952,-0.8422,1.1833,0.680722,0.805093,-1.23263,3.38419,0.0811162,-1.13793,-1.78835,0.294988,1.71246,-10.2803,27.9789,-46.0116,-35.0259,-23.3349,52.3912
0.3705,0.176986,-0.167632,0.250595,0.15992,0.155557,-0.267975,1.14548,-0.841499,1.17737,0.671832,0.80623,-1.22391,3.33457,0.214393,-1.35669,-1.9547,0.183852,1.96155,-10.6092,28.1341,-46.0928,-35.0109,-23.4562,52.4852
0.37525,0.182465,-0.171626,0.256171,0.163088,0.159388,-0.273765,1.1612,-0.840162,1.17041,0.662152,0.806839,-1.214,3.28341,0.348356,-1.57575,-2.12091,0.0721848,2.211,-10.9312,28.2677,-46.1346,-34.9654,-23.5582,52.5355
0.38,0.188017,-0.175612,0.261712,0.166209,0.163221,-0.279506,1.17667,-0.838188,1.1624,0.651684,0.806915,-1.2029,3.23074,0.482902,-1.79491,-2.28683,-0.0399208,2.46057,-11.2465,28.3797,-46.1368,-34.8894,-23.6409,52.542
0.38475,0.193643,-0.179588,0.267212,0.169278,0.167053,-0.285191,1.19189,-0.835574,1.15336,0.640428,0.806459,-1.19062,3.17658,0.617929,-2.01399,-2.45231,-0.152373,2.71008,-11.5549,28.47,-46.0996,-34.7829,-23.7043,52.5047
0.3895,0.19934,-0.183549,0.272667,0.172292,0.170881,-0.290815,1.20684,-0.832317,1.14327,0.628388,0.805467,-1.17716,3.12098,0.753333,-2.23279,-2.61722,-0.265081,2.9593,-11.8565,28.5388,-46.0229,-34.6459,-23.7483,52.4237
0.39425,0.205107,-0.187494,0.278072,0.175247,0.174704,-0.296372,1.22153,-0.828417,1.13215,0.615566,0.80394,-1.16251,3.06395,0.889013,-2.45114,-2.7814,-0.377951,3.20803,-12.1512,28.5859,-45.9067,-34.4784,-23.773,52.299
0.399,0.210944,-0.191418,0.283421,0.178139,0.178518,-0.301857,1.23595,-0.823872,1.11998,0.601966,0.801877,-1.14668,3.00555,1.02486,-2.66885,-2.94471,-0.490893,3.45607,-12.4392,28.6113,-45.7511,-34.2804,-23.7783,52.1304
0.40375,0.216848,-0.19532,0.28871,0.180964,0.182321,-0.307264,1.25008,-0.818681,1.10679,0.587593,0.799277,-1.12968,2.94579,1.16079,-2.88572,-3.10701,-0.603815,3.7032,-12.7203,28.6152,-45.5559,-34.052,-23.7644,51.9181
0.4085,0.222819,-0.199195,0.293934,0.183719,0.18611,-0.312587,1.26393,-0.812844,1.09257,0.572451,0.796141,-1.1115,2.88472,1.29667,-3.10156,-3.26816,-0.716624,3.94922,-12.9946,28.5974,-45.3213,-33.793,-23.7311,51.662
0.41325,0.228855,-0.203041,0.299088,0.186401,0.189884,-0.317821,1.27749,-0.806362,1.07733,0.556547,0.792469,-1.09216,2.82236,1.43243,-3.31621,-3.428,-0.82923,4.19392,-13.2621,28.5581,-45.0472,-33.5036,-23.6785,51.3622
0.418,0.234955,-0.206854,0.304167,0.189005,0.193638,-0.322961,1.29074,-0.799236,1.06107,0.539888,0.788263,-1.07166,2.75874,1.56794,-3.52945,-3.58639,-0.941539,4.43709,-13.5228,28.4971,-44.7336,-33.1837,-23.6066,51.0186
0.42275,0.241117,-0.210632,0.309166,0.191529,0.197371,-0.328,1.30369,-0.791468,1.0438,0.522479,0.783525,-1.05001,2.6939,1.70312,-3.74111,-3.7432,-1.05346,4.67853,-13.7766,28.4144,-44.3806,-32.8333,-23.5153,50.6312
0.4275,0.247339,-0.214372,0.314081,0.193968,0.201081,-0.332934,1.31633,-0.783058,1.02553,0.50433,0.778256,-1.02722,2.62787,1.83785,-3.951,-3.89826,-1.1649,4.91802,-14.0236,28.3102,-43.988,-32.4524,-23.4047,50.2001
0.43225,0.253621,-0.21807,0.318907,0.196319,0.204764,-0.337757,1.32866,-0.774009,1.00627,0.485449,0.772459,-1.00329,2.56069,1.97203,-4.15894,-4.05144,-1.27578,5.15536,-14.2638,28.1843,-43.556,-32.041,-23.2748,49.7252
0.437,0.259961,-0.221724,0.323639,0.198578,0.208418,-0.342464,1.34066,-0.764324,0.986026,0.465844,0.766137,-0.978247,2.49238,2.10556,-4.36472,-4.2026,-1.38598,5.39034,-14.4972,28.0369,-43.0845,-31.5991,-23.1255,49.2066
0.44175,0.266357,-0.22533,0.328273,0.200743,0.212041,-0.347049,1.35233,-0.754007,0.96481,0.445527,0.759294,-0.95209,2.42297,2.23834,-4.56818,-4.35159,-1.49544,5.62275,-14.7238,27.8678,-42.5735,-31.1268,-22.957,48.6441
0.4465,0.272808,-0.228886,0.332803,0.20281,0.215631,-0.351507,1.36367,-0.743061,0.942632,0.424508,0.751932,-0.924835,2.35251,2.37027,-4.76911,-4.49826,-1.60404,5.85239,-14.9435,27.677,-42.0231,-30.6239,-22.7691,48.038
0.45125,0.279311,-0.232389,0.337226,0.204775,0.219184,-0.355833,1.37468,-0.731491,0.919507,0.402798,0.744057,-0.896497,2.28102,2.50124,-4.96733,-4.64247,-1.71171,6.07904,-15.1564,27.4647,-41.4331,-30.0906,-22.5618,47.388
0.456,0.285867,-0.235834,0.341537,0.206635,0.222698,-0.360022,1.38534,-0.719301,0.895447,0.380409,0.735673,-0.867089,2.20854,2.63115,-5.16266,-4.78407,-1.81835,6.30251,-15.3625,27.2307,-40.8037,-29.5267,-22.3353,46.6943
